variant      lut
use_dsp      0
part         xc7z020clg400-1
period_ns    6.667
fmax_mhz     157.18327569946558
luts         942
lut_cells    1220
ffs          886
srls         20
dsps         0
brams        0
wns_ns       0.305
tns_ns       0.000
failing_eps  0
synth_wns_ns 0.505
synth_whs_ns 0.083
synth_tns_ns 0.000
synth_failing_eps 0
whs_ns       0.026
