variant      dsp
use_dsp      1
part         xc7z020clg400-1
period_ns    6.667
fmax_mhz     164.66326362588507
luts         380
lut_cells    470
ffs          734
srls         20
dsps         9
brams        0
wns_ns       0.594
tns_ns       0.000
failing_eps  0
synth_wns_ns 1.312
synth_whs_ns 0.083
synth_tns_ns 0.000
synth_failing_eps 0
whs_ns       0.078
